query,query_type,expected,top_prediction,rank,top1_correct,recall@5,reciprocal_rank,ndcg@5,top_score
الطعام ويمشون في الاسواق وجعلنا,middle_phrase,الفرقان:20,الفرقان:20,1.0,True,1,1.0,1.0,82.31
وما ارسلنا قبلك من المرلين الا,typo_phrase,الفرقان:20,البقرة:1,,False,0,0.0,0.0,86.13
افلم ينظروا الي السماء فوقهم كيف بنينها وزينها وما لها من فروج,full_ayah,ق:6,ق:6,1.0,True,1,1.0,1.0,100.0
افلم ينظروا الي السماء فوقهم كيف,first_phrase,ق:6,ق:6,1.0,True,1,1.0,1.0,98.71
فوقهم كيف بنينها وزينها وما,middle_phrase,ق:6,ق:6,1.0,True,1,1.0,1.0,72.4
افلم ينظوا الي السماء فوقهم كيف,typo_phrase,ق:6,ق:6,1.0,True,1,1.0,1.0,95.88
ذلك بانهم شاقوا الله ورسوله ومن يشاق الله فان الله شديد العقاب,full_ayah,الحشر:4,الحشر:4,1.0,True,1,1.0,1.0,100.0
ورسوله ومن يشاق الله فان,middle_phrase,الحشر:4,الحشر:4,1.0,True,1,1.0,1.0,88.7
ذلك بانهم شاقوا الله ورسله ومن,typo_phrase,الحشر:4,الحشر:4,1.0,True,1,1.0,1.0,94.73
ولقد ارسلنا رسلا من قبلك وجعلنا لهم ازوجا وذريه وما كان لرسول ان ياتي بايه الا باذن الله لكل اجل كتاب,full_ayah,الرعد:38,الرعد:38,1.0,True,1,1.0,1.0,100.0
ولقد ارسلنا رسلا من قبلك وجعلنا,first_phrase,الرعد:38,الرعد:38,1.0,True,1,1.0,1.0,91.18
وذريه وما كان لرسول ان,middle_phrase,الرعد:38,الرعد:38,1.0,True,1,1.0,1.0,82.4
ولقد ارسنا رسلا من قبلك وجعلنا,typo_phrase,الرعد:38,الرعد:38,1.0,True,1,1.0,1.0,88.79
ان الذين كفروا ويصدون عن سبيل الله والمسجد الحرام الذي جعلنه للناس سواء العكف فيه والباد ومن يرد فيه بالحاد بظلم نذقه من عذاب اليم,full_ayah,الحج:25,الحج:25,1.0,True,1,1.0,1.0,100.0
ان الذين كفروا ويصدون عن سبيل,first_phrase,الحج:25,الحج:25,1.0,True,1,1.0,1.0,87.35
جعلنه للناس سواء العكف فيه,middle_phrase,الحج:25,الحج:25,1.0,True,1,1.0,1.0,75.99
ان الذين كفروا ويصون عن سبيل,typo_phrase,الحج:25,الحج:25,1.0,True,1,1.0,1.0,85.74
نار الله الموقده,full_ayah,الهمزة:6,الهمزة:6,1.0,True,1,1.0,1.0,100.0
نار الله المقده,typo_phrase,الهمزة:6,الهمزة:6,1.0,True,1,1.0,1.0,97.63
وجاءت سياره فارسلوا واردهم فادلي دلوه قال يبشري هذا غلم واسروه بضعه والله عليم بما يعملون,full_ayah,يوسف:19,يوسف:19,1.0,True,1,1.0,1.0,100.0
وجاءت سياره فارسلوا واردهم فادلي دلوه,first_phrase,يوسف:19,يوسف:19,1.0,True,1,1.0,1.0,75.85
قال يبشري هذا غلم واسروه,middle_phrase,يوسف:19,يوسف:19,1.0,True,1,1.0,1.0,79.66
وجاءت سياره فارلوا واردهم فادلي دلوه,typo_phrase,يوسف:19,يوسف:19,1.0,True,1,1.0,1.0,77.54
وجاءه قومه يهرعون اليه ومن قبل كانوا يعملون السيات قال يقوم هولاء بناتي هن اطهر لكم فاتقوا الله ولا تخزون في ضيفي اليس منكم رجل رشيد,full_ayah,هود:78,هود:78,1.0,True,1,1.0,1.0,100.0
وجاءه قومه يهرعون اليه ومن قبل,first_phrase,هود:78,هود:78,1.0,True,1,1.0,1.0,89.26
هولاء بناتي هن اطهر لكم,middle_phrase,هود:78,هود:78,1.0,True,1,1.0,1.0,78.2
وجاءه قومه يهرون اليه ومن قبل,typo_phrase,هود:78,هود:78,1.0,True,1,1.0,1.0,87.54
وما يغني عنه ماله اذا تردي,full_ayah,الليل:11,الليل:11,1.0,True,1,1.0,1.0,100.0
قتل اصحب الاخدود,full_ayah,البروج:4,البروج:4,1.0,True,1,1.0,1.0,100.0
قتل اصحب الادود,typo_phrase,البروج:4,البروج:4,1.0,True,1,1.0,1.0,96.8
باي ذنب قتلت,full_ayah,التكوير:9,التكوير:9,1.0,True,1,1.0,1.0,100.0
اذن للذين يقتلون بانهم ظلموا وان الله علي نصرهم لقدير,full_ayah,الحج:39,الحج:39,1.0,True,1,1.0,1.0,100.0
اذن للذين يقتلون بانهم ظلموا وان,first_phrase,الحج:39,الحج:39,1.0,True,1,1.0,1.0,94.79
بانهم ظلموا وان الله علي,middle_phrase,الحج:39,الحج:39,1.0,True,1,1.0,1.0,90.38
اذن للذين يقتون بانهم ظلموا وان,typo_phrase,الحج:39,الحج:39,1.0,True,1,1.0,1.0,92.87
فقتل في سبيل الله لا تكلف الا نفسك وحرض المومنين عسي الله ان يكف باس الذين كفروا والله اشد باسا واشد تنكيلا,full_ayah,النساء:84,النساء:84,1.0,True,1,1.0,1.0,100.0
فقتل في سبيل الله لا تكلف,first_phrase,النساء:84,النساء:84,1.0,True,1,1.0,1.0,95.26
المومنين عسي الله ان يكف,middle_phrase,النساء:84,النساء:84,1.0,True,1,1.0,1.0,88.66
وقال اركبوا فيها بسم الله مجريها ومرسيها ان ربي لغفور رحيم,full_ayah,هود:41,هود:41,1.0,True,1,1.0,1.0,100.0
وقال اركبوا فيها بسم الله مجريها,first_phrase,هود:41,هود:41,1.0,True,1,1.0,1.0,97.59
بسم الله مجريها ومرسيها ان,middle_phrase,هود:41,هود:41,1.0,True,1,1.0,1.0,90.92
وقال اركوا فيها بسم الله مجريها,typo_phrase,هود:41,هود:41,1.0,True,1,1.0,1.0,93.87
ان الذين يوذون الله ورسوله لعنهم الله في الدنيا والءاخره واعد لهم عذابا مهينا,full_ayah,الأحزاب:57,الأحزاب:57,1.0,True,1,1.0,1.0,100.0
ان الذين يوذون الله ورسوله لعنهم,first_phrase,الأحزاب:57,الأحزاب:57,1.0,True,1,1.0,1.0,83.75
لعنهم الله في الدنيا والءاخره,middle_phrase,الأحزاب:57,الأحزاب:57,1.0,True,1,1.0,1.0,95.78
ان الذين يوذون الله ورسله لعنهم,typo_phrase,الأحزاب:57,الأعراف:45,,False,0,0.0,0.0,88.09
واذ نادي ربك موسي ان ايت القوم الظلمين,full_ayah,الشعراء:10,الشعراء:10,1.0,True,1,1.0,1.0,100.0
واذ نادي ربك موسي ان ايت,first_phrase,الشعراء:10,الشعراء:10,1.0,True,1,1.0,1.0,93.33
ربك موسي ان ايت القوم,middle_phrase,الشعراء:10,الشعراء:10,1.0,True,1,1.0,1.0,83.11
والذين هم من عذاب ربهم مشفقون,full_ayah,المعارج:27,المعارج:27,1.0,True,1,1.0,1.0,100.0
والين هم من عذاب ربهم مشفقون,typo_phrase,المعارج:27,المعارج:27,1.0,True,1,1.0,1.0,93.87
كم تركوا من جنت وعيون,full_ayah,الدخان:25,الدخان:25,1.0,True,1,1.0,1.0,100.0
كم تروا من جنت وعيون,typo_phrase,الدخان:25,الدخان:25,1.0,True,1,1.0,1.0,91.17
ولا يسل حميم حميما,full_ayah,المعارج:10,المعارج:10,1.0,True,1,1.0,1.0,100.0
ولا يسل حميم حمما,typo_phrase,المعارج:10,المعارج:10,1.0,True,1,1.0,1.0,94.67
انما جعل السبت علي الذين اختلفوا فيه وان ربك ليحكم بينهم يوم القيمه فيما كانوا فيه يختلفون,full_ayah,النحل:124,النحل:124,1.0,True,1,1.0,1.0,100.0
انما جعل السبت علي الذين اختلفوا,first_phrase,النحل:124,النحل:124,1.0,True,1,1.0,1.0,91.28
فيه وان ربك ليحكم بينهم,middle_phrase,النحل:124,النحل:124,1.0,True,1,1.0,1.0,86.42
انما جعل السبت علي الذين اختفوا,typo_phrase,النحل:124,النحل:124,1.0,True,1,1.0,1.0,81.59
الذين هم في غمره ساهون,full_ayah,الذاريات:11,الذاريات:11,1.0,True,1,1.0,1.0,100.0
الين هم في غمره ساهون,typo_phrase,الذاريات:11,الذاريات:11,1.0,True,1,1.0,1.0,94.97
ان ربك لبالمرصاد,full_ayah,الفجر:14,الفجر:14,1.0,True,1,1.0,1.0,100.0
ان ربك لبالرصاد,typo_phrase,الفجر:14,الفجر:14,1.0,True,1,1.0,1.0,94.25
وغدوا علي حرد قدرين,full_ayah,القلم:25,القلم:25,1.0,True,1,1.0,1.0,100.0
وغوا علي حرد قدرين,typo_phrase,القلم:25,القلم:25,1.0,True,1,1.0,1.0,97.08
يايها الذين ءامنوا قتلوا الذين يلونكم من الكفار وليجدوا فيكم غلظه واعلموا ان الله مع المتقين,full_ayah,التوبة:123,التوبة:123,1.0,True,1,1.0,1.0,100.0
يايها الذين ءامنوا قتلوا الذين يلونكم,first_phrase,التوبة:123,التوبة:123,1.0,True,1,1.0,1.0,91.78
من الكفار وليجدوا فيكم غلظه,middle_phrase,التوبة:123,التوبة:123,1.0,True,1,1.0,1.0,80.58
يايها الذين ءاموا قتلوا الذين يلونكم,typo_phrase,التوبة:123,التوبة:123,1.0,True,1,1.0,1.0,84.24
قال يقوم ارءيتم ان كنت علي بينه من ربي وءاتيني منه رحمه فمن ينصرني من الله ان عصيته فما تزيدونني غير تخسير,full_ayah,هود:63,هود:63,1.0,True,1,1.0,1.0,100.0
وءاتيني منه رحمه فمن ينصرني,middle_phrase,هود:63,هود:63,1.0,True,1,1.0,1.0,94.5
قال يقوم ارءتم ان كنت علي,typo_phrase,هود:63,هود:88,2.0,False,1,0.5,0.6309297535714575,89.67
ثم قست قلوبكم من بعد ذلك فهي كالحجاره او اشد قسوه وان من الحجاره لما يتفجر منه الانهر وان منها لما يشقق فيخرج منه الماء وان منها لما يهبط من خشيه الله وما الله بغفل عما تعملون,full_ayah,البقرة:74,البقرة:74,1.0,True,1,1.0,1.0,100.0
ثم قست قلوبكم من بعد ذلك,first_phrase,البقرة:74,البقرة:74,1.0,True,1,1.0,1.0,90.85
منه الانهر وان منها لما,middle_phrase,البقرة:74,البقرة:74,1.0,True,1,1.0,1.0,81.54
ثم قست قلوكم من بعد ذلك,typo_phrase,البقرة:74,عبس:21,,False,0,0.0,0.0,82.09
وان جندنا لهم الغلبون,full_ayah,الصافات:173,الصافات:173,1.0,True,1,1.0,1.0,100.0
وان جندنا لهم الغبون,typo_phrase,الصافات:173,الصافات:173,1.0,True,1,1.0,1.0,95.55
قال كذلك اتتك ءايتنا فنسيتها وكذلك اليوم تنسي,full_ayah,طه:126,طه:126,1.0,True,1,1.0,1.0,100.0
قال كذلك اتتك ءايتنا فنسيتها وكذلك,first_phrase,طه:126,طه:126,1.0,True,1,1.0,1.0,94.84
اتتك ءايتنا فنسيتها وكذلك اليوم,middle_phrase,طه:126,طه:126,1.0,True,1,1.0,1.0,90.01
قال كذلك اتتك ءايتنا فنستها وكذلك,typo_phrase,طه:126,طه:126,1.0,True,1,1.0,1.0,90.14
فباي ءالاء ربكما تكذبان,full_ayah,الرحمن:34,الرحمن:13,,False,0,0.0,0.0,100.0
فباي ءالاء ربكما تكذان,typo_phrase,الرحمن:34,الرحمن:13,,False,0,0.0,0.0,89.27
وجعلنا ابن مريم وامه ءايه وءاوينهما الي ربوه ذات قرار ومعين,full_ayah,المؤمنون:50,المؤمنون:50,1.0,True,1,1.0,1.0,100.0
وجعلنا ابن مريم وامه ءايه وءاوينهما,first_phrase,المؤمنون:50,المؤمنون:50,1.0,True,1,1.0,1.0,96.52
وامه ءايه وءاوينهما الي ربوه,middle_phrase,المؤمنون:50,المؤمنون:50,1.0,True,1,1.0,1.0,86.9
وجعلنا ابن مريم وامه ءايه وءاونهما,typo_phrase,المؤمنون:50,المؤمنون:50,1.0,True,1,1.0,1.0,93.95
ومن ءايته ان تقوم السماء والارض بامره ثم اذا دعاكم دعوه من الارض اذا انتم تخرجون,full_ayah,الروم:25,الروم:25,1.0,True,1,1.0,1.0,100.0
